strategy,query_type,questions,hit@1,hit@5,mrr,candidate_hit@20,rescue_rate@1,regression_rate@1,rescue_rate@5,regression_rate@5,mean_retrieval_seconds,mean_query_count
original,DIRECT,10,1,1,1.0,1,,0,,0,0.187113430025056,1
original,EXACT_IDENTIFIER,10,1,1,1.0,1,,0,,0,0.14401430999860168,1
original,MULTI_PART,10,1,1,1.0,1,,0,,0,0.15340211996808648,1
original,PARAPHRASE,10,0.8,1,0.845,1,0,0,,0,0.13001022997777908,1
original,VAGUE,10,0.8,1,0.8583333333333333,1,0,0,,0,0.1346455599879846,1
rewrite_only,DIRECT,10,1,1,1.0,1,,0,,0,0.18511202998925,1
rewrite_only,EXACT_IDENTIFIER,10,1,1,1.0,1,,0,,0,0.14990685998927802,1
rewrite_only,MULTI_PART,10,1,1,1.0,1,,0,,0,0.14790456998161972,1
rewrite_only,PARAPHRASE,10,1,1,1.0,1,1,0,,0,0.13973262996878474,1
rewrite_only,VAGUE,10,0.9,1,0.95,1,0.5,0,,0,0.1363407800439745,1
original_rewrite,DIRECT,10,1,1,1.0,1,,0,,0,0.36573424004018307,2
original_rewrite,EXACT_IDENTIFIER,10,1,1,1.0,1,,0,,0,0.2771292400546372,2
original_rewrite,MULTI_PART,10,1,1,1.0,1,,0,,0,0.28287175004370513,2
original_rewrite,PARAPHRASE,10,1,1,1.0,1,1,0,,0,0.28091525002382695,2
original_rewrite,VAGUE,10,0.9,1,0.95,1,0.5,0,,0,0.27079899997916074,2
multi_query,DIRECT,10,1,1,1.0,1,,0,,0,0.7052031700266526,4
multi_query,EXACT_IDENTIFIER,10,1,1,1.0,1,,0,,0,0.563371179997921,4
multi_query,MULTI_PART,10,1,1,1.0,1,,0,,0,0.5980983599787578,4
multi_query,PARAPHRASE,10,1,1,1.0,1,1,0,,0,0.5249364200280979,4
multi_query,VAGUE,10,1,1,1.0,1,1,0,,0,0.5667910000076517,4
